Date,Temp_avg,kwh
1/8/2017,75.54285714,106.549
1/15/2017,71.01428571,129.096
1/22/2017,64.41428571,68.77
1/29/2017,56.72857143,71.378
2/5/2017,66.12857143,107.829
2/12/2017,77.38571429,128.206
2/19/2017,62.42857143,86.532
2/26/2017,64.04285714,75.311
3/5/2017,67.67142857,110.7
3/12/2017,78.07142857,147.041
3/19/2017,63.98571429,77.033
3/26/2017,72.47142857,108.022
4/2/2017,65.68571429,106.083
4/9/2017,74.72857143,137.084
4/16/2017,73.9,135.452
4/23/2017,71.78571429,122.831
4/30/2017,73.98571429,147.628
5/7/2017,68.92857143,124.545
5/14/2017,75.81428571,158.895
5/21/2017,79.4,190.657
5/28/2017,77.12857143,138.969
6/4/2017,67.81428571,104.932
6/11/2017,78.44285714,166.312
6/18/2017,79.08571429,188.495
6/25/2017,81.81428571,177.384
7/2/2017,72.71428571,127.091
7/9/2017,75.65714286,128.458
7/16/2017,75.21428571,180.101
7/23/2017,84.31428571,185.621
7/30/2017,86.8,133.489
8/6/2017,68.41428571,111.672
8/13/2017,71.07142857,169.281
8/20/2017,87.47142857,267.53
8/27/2017,81.01428571,203.888
9/3/2017,70.4,126.432
9/10/2017,77.74285714,171.778
9/17/2017,70.77142857,161.068
9/24/2017,80.24285714,201.764
10/1/2017,78.54285714,157.04
10/8/2017,75.04285714,125.673
10/15/2017,70.67142857,153.765
10/22/2017,69.64285714,116.608
10/29/2017,60.98571429,66.01855051
11/5/2017,70.12857143,81.678
11/12/2017,73.87142857,143.757
11/19/2017,68.64285714,92.005
11/26/2017,58.94285714,60.123
12/3/2017,64.27142857,71.3164
12/10/2017,78.17142857,160.169
12/17/2017,53.75714286,89.303
12/24/2017,62.32857143,43.668
12/31/2017,46.82857143,75.931
1/7/2018,69.57142857,138.333
1/14/2018,64.54285714,177.833
1/21/2018,45.52857143,95.522
1/28/2018,55.82857143,70.135
2/4/2018,54.62857143,84.687
2/11/2018,78.5,203.1595
2/18/2018,64.95714286,87.348
2/25/2018,67.74285714,72.821
3/4/2018,61.28571429,83.249
3/11/2018,79.34285714,227.4726
3/18/2018,65.32857143,91.463
3/25/2018,68.28571429,89.67
4/1/2018,65.88571429,82.637
4/8/2018,72.84285714,135.278
4/15/2018,67.37142857,137.655
4/22/2018,67.2,72.696
4/29/2018,69.34285714,99.628
5/6/2018,66.78571429,131.125
5/13/2018,75.57142857,190.07
5/20/2018,81.17142857,222.761
5/27/2018,78.25714286,131.391
6/3/2018,73.71428571,91.225
6/10/2018,80.32857143,220.706
6/17/2018,78.87142857,222.288
6/24/2018,81.17142857,212.471
7/1/2018,81.54285714,262.913
7/8/2018,69.78571429,166.894
7/15/2018,80.11428571,240.285
7/22/2018,87.14285714,296.672
7/29/2018,87.15714286,317.569
8/5/2018,65.81428571,166.3565
8/12/2018,74.2,199.27
8/19/2018,85.77142857,294.159
8/26/2018,86.11428571,322.68
9/2/2018,75.52857143,191.394
9/9/2018,74.25714286,165.265
9/16/2018,71.22857143,182.718
9/23/2018,81.24285714,217.696
9/30/2018,76.94285714,181.5114
10/7/2018,72.32857143,142.528
10/14/2018,70,185.713
10/21/2018,64.31428571,91.696
10/28/2018,64.11428571,84.556
11/4/2018,64.82857143,105.7809
11/11/2018,75.68571429,198.475
11/18/2018,49,80.788
11/25/2018,56.47142857,71.3
12/2/2018,54.04285714,77.502
12/9/2018,77.25714286,185.918
12/16/2018,57.87142857,93.709
12/23/2018,56.91428571,70.205
12/30/2018,56.88571429,75.636
1/6/2019,60.48571429,86.231
1/13/2019,70.18571429,159.352
1/20/2019,52.67142857,86.986
1/27/2019,51.47142857,81.245
2/3/2019,53.7,77.249
2/10/2019,78.38571429,202.361
2/17/2019,59.21428571,69.11
2/24/2019,56.47142857,77.127
3/3/2019,56.68571429,76.549
3/10/2019,78.67142857,166.625
3/17/2019,60.07142857,70.301
3/24/2019,63.08571429,68.29164906
3/31/2019,64.57142857,82.972
4/7/2019,66.27142857,131.608
4/14/2019,72.02857143,133.371
4/21/2019,67.48571429,74.678
4/28/2019,72.22857143,109.243
5/5/2019,67.04285714,121.818
5/12/2019,78.31428571,177.503
5/19/2019,76.82857143,153.277
5/26/2019,82.14285714,145.574
6/2/2019,77.31428571,93.122
6/9/2019,76.42857143,206.979
6/16/2019,77.32857143,214.606
6/23/2019,84.68571429,233.321
6/30/2019,77.98571429,172.962
7/7/2019,72.12857143,130.328
7/14/2019,77.1,191.144
7/21/2019,85.78571429,282.0606309
7/28/2019,82,219.61
8/4/2019,71.25714286,151.152
8/11/2019,77.71428571,221.983753
8/18/2019,83.55714286,275.479
8/25/2019,84.44285714,262.389
9/1/2019,80.34285714,227.181
9/8/2019,75.54285714,184.756
9/15/2019,76.8,168.347
9/22/2019,79.38571429,157.726
9/29/2019,80.92857143,191.826
10/6/2019,70.77142857,137.1698
10/13/2019,74.28571429,147.52
10/20/2019,73.47142857,137.847
10/27/2019,64.55714286,84.999
11/3/2019,62.92857143,76.744
11/10/2019,77.98571429,175.708
11/17/2019,49.04285714,77.927
11/24/2019,62.78571429,62.805
12/1/2019,69.55714286,74.079
12/8/2019,74.37142857,167.481
12/15/2019,61.24285714,86.248
12/22/2019,50,73.206
12/29/2019,60.12857143,35.655
1/5/2020,7.185714286,4.947
